,repo,org,obs_period,unit_complexity,unit_size,lines,n_modified_files,n_contributors
0,wakaama,eclipse,"(datetime.datetime(2022, 1, 1, 0, 0), datetime.datetime(2022, 2, 1, 0, 0))","{'avg': 0.0, 'max': [1.0], 'Q1': 0.0, 'Q3': 0.7437759336099585}","{'avg': 0.0, 'max': [1.0], 'Q1': 0.0, 'Q3': 0.5632780082987552}","{'avg': 7.0, 'max': [344], 'Q1': 4.0, 'Q3': 23.0}","{'avg': 1.0, 'max': [5], 'Q1': 1.0, 'Q3': 2.0}",1
0,wakaama,eclipse,"(datetime.datetime(2022, 2, 1, 0, 0), datetime.datetime(2022, 3, 1, 0, 0))","{'avg': 1.0, 'max': [1.0], 'Q1': 0.5, 'Q3': 1.0}","{'avg': 1.0, 'max': [1.0], 'Q1': 0.5, 'Q3': 1.0}","{'avg': 12.0, 'max': [595], 'Q1': 2.75, 'Q3': 48.5}","{'avg': 1.0, 'max': [15], 'Q1': 1.0, 'Q3': 2.0}",1
0,wakaama,eclipse,"(datetime.datetime(2022, 3, 1, 0, 0), datetime.datetime(2022, 4, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2022, 4, 1, 0, 0), datetime.datetime(2022, 5, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2022, 5, 1, 0, 0), datetime.datetime(2022, 6, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2022, 6, 1, 0, 0), datetime.datetime(2022, 7, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2022, 7, 1, 0, 0), datetime.datetime(2022, 8, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 16.0, 'max': [18], 'Q1': 9.5, 'Q3': 17.0}","{'avg': 2.0, 'max': [3], 'Q1': 1.5, 'Q3': 2.5}",1
0,wakaama,eclipse,"(datetime.datetime(2022, 8, 1, 0, 0), datetime.datetime(2022, 9, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2022, 9, 1, 0, 0), datetime.datetime(2022, 10, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2022, 10, 1, 0, 0), datetime.datetime(2022, 11, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2022, 11, 1, 0, 0), datetime.datetime(2022, 12, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2022, 12, 1, 0, 0), datetime.datetime(2023, 1, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2023, 1, 1, 0, 0), datetime.datetime(2023, 2, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2023, 2, 1, 0, 0), datetime.datetime(2023, 3, 1, 0, 0))","{'avg': 0.2804878048780488, 'max': [0.2804878048780488], 'Q1': 0.2804878048780488, 'Q3': 0.2804878048780488}","{'avg': 0.7865853658536586, 'max': [0.7865853658536586], 'Q1': 0.7865853658536586, 'Q3': 0.7865853658536586}","{'avg': 143.0, 'max': [281], 'Q1': 74.0, 'Q3': 212.0}","{'avg': 5.5, 'max': [10], 'Q1': 3.25, 'Q3': 7.75}",2
0,wakaama,eclipse,"(datetime.datetime(2023, 3, 1, 0, 0), datetime.datetime(2023, 4, 1, 0, 0))","{'avg': 0.8571428571428571, 'max': [1.0], 'Q1': 0.07142857142857142, 'Q3': 1.0}","{'avg': 0.18181818181818182, 'max': [1.0], 'Q1': 0.0, 'Q3': 0.7142857142857143}","{'avg': 16.5, 'max': [146], 'Q1': 4.0, 'Q3': 38.75}","{'avg': 2.0, 'max': [17], 'Q1': 1.0, 'Q3': 4.0}",2
0,wakaama,eclipse,"(datetime.datetime(2023, 4, 1, 0, 0), datetime.datetime(2023, 5, 1, 0, 0))","{'avg': 0.9701492537313433, 'max': [0.9701492537313433], 'Q1': 0.9701492537313433, 'Q3': 0.9701492537313433}","{'avg': 0.9701492537313433, 'max': [0.9701492537313433], 'Q1': 0.9701492537313433, 'Q3': 0.9701492537313433}","{'avg': 129.0, 'max': [129], 'Q1': 129.0, 'Q3': 129.0}","{'avg': 5.0, 'max': [5], 'Q1': 5.0, 'Q3': 5.0}",1
0,wakaama,eclipse,"(datetime.datetime(2023, 5, 1, 0, 0), datetime.datetime(2023, 6, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 6.0, 'max': [8], 'Q1': 5.0, 'Q3': 7.0}","{'avg': 3.0, 'max': [4], 'Q1': 2.5, 'Q3': 3.5}",2
0,wakaama,eclipse,"(datetime.datetime(2023, 6, 1, 0, 0), datetime.datetime(2023, 7, 1, 0, 0))",0,0,0,0,0
0,wakaama,eclipse,"(datetime.datetime(2023, 7, 1, 0, 0), datetime.datetime(2023, 8, 1, 0, 0))","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': nan, 'max': [None], 'Q1': nan, 'Q3': nan}","{'avg': 27.0, 'max': [50], 'Q1': 15.5, 'Q3': 38.5}","{'avg': 4.0, 'max': [7], 'Q1': 2.5, 'Q3': 5.5}",2
0,wakaama,eclipse,"(datetime.datetime(2023, 8, 1, 0, 0), datetime.datetime(2023, 9, 1, 0, 0))","{'avg': 0.5, 'max': [1.0], 'Q1': 0.25, 'Q3': 0.75}","{'avg': 0.5, 'max': [1.0], 'Q1': 0.25, 'Q3': 0.75}","{'avg': 22.0, 'max': [64], 'Q1': 18.0, 'Q3': 43.0}","{'avg': 3.0, 'max': [4], 'Q1': 2.5, 'Q3': 3.5}",3
