,repo,org,stars,contributors,released
0,xtext,Eclipse Foundation,739,98,False
1,kura,Eclipse Foundation,476,57,False
2,andmore,Eclipse Foundation,146,11,True
3,ponte,Eclipse Foundation,363,8,False
4,wakaama,Eclipse Foundation,481,37,True
5,mraa,Eclipse Foundation,1349,110,False
6,upm,Eclipse Foundation,650,57,True
7,vorto,Eclipse Foundation,224,42,True
8,buildship,Eclipse Foundation,516,40,False
9,che,Eclipse Foundation,6908,137,True
10,dirigible,Eclipse Foundation,198,48,True
11,elk,Eclipse Foundation,219,17,True
12,hawkbit,Eclipse Foundation,426,65,True
13,eclipse-collections,Eclipse Foundation,2318,104,True
14,paho.mqtt.java,Eclipse Foundation,1998,58,True
15,paho.mqtt.embedded-c,Eclipse Foundation,1268,14,True
16,paho.mqtt.javascript,Eclipse Foundation,1114,10,True
17,paho.mqtt.python,Eclipse Foundation,2001,64,True
18,paho.mqtt.c,Eclipse Foundation,1789,88,True
19,eclipse-collections-kata,Eclipse Foundation,431,57,False
20,paho.mqtt.cpp,Eclipse Foundation,871,19,True
21,paho.mqtt.golang,Eclipse Foundation,2523,70,True
22,paho.mqtt-sn.embedded-c,Eclipse Foundation,303,13,True
23,paho.mqtt.m2mqtt,Eclipse Foundation,494,5,True
24,paho.mqtt.testing,Eclipse Foundation,105,5,False
25,paho.mqtt.android,Eclipse Foundation,2780,10,False
26,omr,Eclipse Foundation,921,186,True
27,mosquitto,Eclipse Foundation,8154,126,False
28,milo,Eclipse Foundation,1061,20,False
29,xtext-core,Eclipse Foundation,117,54,False
30,xtext-xtend,Eclipse Foundation,101,32,False
31,paho.mqtt-spy,Eclipse Foundation,616,4,True
32,gef,Eclipse Foundation,115,23,True
33,jnosql,Eclipse Foundation,218,25,True
34,microprofile-samples,Eclipse Foundation,116,14,False
35,microprofile-conference,Eclipse Foundation,118,28,False
36,kapua,Eclipse Foundation,218,36,True
37,microprofile-config,Eclipse Foundation,204,52,True
38,microprofile,Eclipse Foundation,659,36,True
39,repairnator,Eclipse Foundation,378,22,False
40,microprofile-health,Eclipse Foundation,102,31,True
41,microprofile-fault-tolerance,Eclipse Foundation,120,33,True
42,microprofile-jwt-auth,Eclipse Foundation,101,24,True
43,microprofile-rest-client,Eclipse Foundation,134,30,True
44,microprofile-open-api,Eclipse Foundation,125,34,True
45,xacc,Eclipse Foundation,157,21,False
46,paho.mqtt.rust,Eclipse Foundation,474,15,True
47,lemminx,Eclipse Foundation,239,38,True
48,tahu,Eclipse Foundation,195,19,False
49,steady,Eclipse Foundation,516,14,True
50,paho.golang,Eclipse Foundation,266,16,True
51,streamsheets,Eclipse Foundation,438,10,False
52,jkube,Eclipse Foundation,582,179,True
53,openvsx,Eclipse Foundation,1057,37,True
54,capella,Eclipse Foundation,194,47,True
55,jifa,Eclipse Foundation,415,18,True
56,jbom,Eclipse Foundation,102,5,True
0,java-buildpack-auto-reconfiguration,Cloud Foundry,219,16,False
1,cf-java-client,Cloud Foundry,325,64,True
2,uaa,Cloud Foundry,1539,155,True
3,bosh,Cloud Foundry,2013,158,True
4,gosigar,Cloud Foundry,469,33,True
5,cloud_controller_ng,Cloud Foundry,182,152,False
6,gorouter,Cloud Foundry,432,127,False
7,nodejs-buildpack,Cloud Foundry,164,96,True
8,java-buildpack,Cloud Foundry,428,94,True
9,loggregator-release,Cloud Foundry,216,90,True
10,cli,Cloud Foundry,1737,180,True
11,garden,Cloud Foundry,226,57,False
12,php-buildpack,Cloud Foundry,141,71,True
13,diego-release,Cloud Foundry,198,139,True
14,bytefmt,Cloud Foundry,214,20,False
15,python-buildpack,Cloud Foundry,120,104,True
16,diego-design-notes,Cloud Foundry,141,18,False
17,staticfile-buildpack,Cloud Foundry,199,72,True
18,java-buildpack-memory-calculator,Cloud Foundry,612,10,True
19,cf-deployment,Cloud Foundry,284,202,True
20,stratos,Cloud Foundry,241,47,True
21,bosh-bootloader,Cloud Foundry,178,103,True
22,credhub,Cloud Foundry,224,54,False
23,bosh-cli,Cloud Foundry,178,147,True
24,bosh-deployment,Cloud Foundry,130,104,False
25,go-diodes,Cloud Foundry,442,14,False
26,eirini,Cloud Foundry,115,32,False
27,cf-for-k8s,Cloud Foundry,302,68,True
28,korifi,Cloud Foundry,271,30,True
0,active_shipping,Shopify,812,89,True
1,response_bank,Shopify,130,35,True
2,liquid,Shopify,10664,155,False
3,active_fulfillment,Shopify,155,41,True
4,shopify_app,Shopify,1689,214,True
5,shopify-api-ruby,Shopify,1013,179,True
6,money,Shopify,270,59,True
7,shopify_theme,Shopify,640,33,False
8,statsd-instrument,Shopify,558,78,False
9,shopify_python_api,Shopify,1133,77,False
10,shopify_django_app,Shopify,444,17,False
11,wolverine,Shopify,111,10,False
12,dashing,Shopify,11000,35,True
13,shopify.github.com,Shopify,509,58,False
14,superdb,Shopify,1152,7,False
15,identity_cache,Shopify,1891,65,False
16,browser_sniffer,Shopify,116,28,True
17,verdict,Shopify,176,30,True
18,go-lua,Shopify,2863,22,False
19,lhm,Shopify,166,53,True
20,Timber,Shopify,1028,39,True
21,shipit-engine,Shopify,1382,148,True
22,liquid-c,Shopify,114,20,True
23,ejson,Shopify,1297,34,True
24,minesweeper,Shopify,114,6,True
25,toxiproxy,Shopify,10097,61,True
26,turbograft,Shopify,213,32,True
27,twine,Shopify,114,23,True
28,semian,Shopify,1305,74,True
29,themekit,Shopify,1130,44,True
30,toxiproxy-ruby,Shopify,116,20,True
31,measured,Shopify,284,23,False
32,mobile-buy-sdk-ios,Shopify,444,34,True
33,graphql-batch,Shopify,1395,37,True
34,mobile-buy-sdk-android,Shopify,207,26,True
35,ruby-style-guide,Shopify,446,79,True
36,js-buy-sdk,Shopify,957,53,True
37,javascript,Shopify,254,20,False
38,sprockets-commoner,Shopify,183,4,False
39,android-testify,Shopify,229,9,True
40,erb-lint,Shopify,545,74,True
41,better-html,Shopify,340,25,True
42,buy-button-js,Shopify,236,24,False
43,slate,Shopify,1282,49,True
44,node-themekit,Shopify,114,15,True
45,graphql-js-client,Shopify,191,14,True
46,ci-queue,Shopify,162,27,True
47,rotoscope,Shopify,186,9,False
48,krane,Shopify,1358,93,True
49,bootsnap,Shopify,2631,96,False
50,storefront-api-examples,Shopify,1101,23,False
51,polaris,Shopify,5582,353,True
52,cli-ui,Shopify,939,37,True
53,shopify-node-app,Shopify,329,12,False
54,cli-kit,Shopify,138,21,True
55,FunctionalTableData,Shopify,364,31,True
56,web-configs,Shopify,454,81,True
57,kubeaudit,Shopify,1791,39,True
58,draggable,Shopify,17309,44,True
59,shopify-express,Shopify,137,9,True
60,theme-scripts,Shopify,502,22,True
61,starter-theme,Shopify,475,17,True
62,polaris-tokens,Shopify,233,16,True
63,shopify-scripts,Shopify,143,5,False
64,deprecation_toolkit,Shopify,433,21,True
65,quilt,Shopify,1641,253,True
66,ghostferry,Shopify,651,37,True
