,repo,org,stars,contributors,released,created_at,updated_at,url
0,andmore,Eclipse Foundation,146,11,True,2014-04-09,2024-01-24,https://api.github.com/repos/eclipse/andmore
1,wakaama,Eclipse Foundation,481,37,True,2014-04-18,2024-02-09,https://api.github.com/repos/eclipse/wakaama
2,upm,Eclipse Foundation,650,57,True,2014-06-05,2024-01-12,https://api.github.com/repos/eclipse/upm
3,vorto,Eclipse Foundation,224,42,True,2015-03-02,2024-02-06,https://api.github.com/repos/eclipse/vorto
4,che,Eclipse Foundation,6909,137,True,2015-03-26,2024-02-20,https://api.github.com/repos/eclipse/che
5,dirigible,Eclipse Foundation,198,50,True,2015-05-11,2024-01-13,https://api.github.com/repos/eclipse/dirigible
6,elk,Eclipse Foundation,222,17,True,2015-10-19,2024-02-19,https://api.github.com/repos/eclipse/elk
7,hawkbit,Eclipse Foundation,427,65,True,2015-11-09,2024-02-15,https://api.github.com/repos/eclipse/hawkbit
8,eclipse-collections,Eclipse Foundation,2327,104,True,2015-11-24,2024-02-16,https://api.github.com/repos/eclipse/eclipse-collections
9,paho.mqtt.java,Eclipse Foundation,2001,58,True,2015-12-16,2024-02-20,https://api.github.com/repos/eclipse/paho.mqtt.java
10,paho.mqtt.embedded-c,Eclipse Foundation,1272,14,True,2015-12-16,2024-02-20,https://api.github.com/repos/eclipse/paho.mqtt.embedded-c
11,paho.mqtt.javascript,Eclipse Foundation,1115,10,True,2015-12-16,2024-02-19,https://api.github.com/repos/eclipse/paho.mqtt.javascript
12,paho.mqtt.c,Eclipse Foundation,1792,88,True,2015-12-16,2024-02-20,https://api.github.com/repos/eclipse/paho.mqtt.c
13,paho.mqtt.cpp,Eclipse Foundation,876,20,True,2016-02-03,2024-02-20,https://api.github.com/repos/eclipse/paho.mqtt.cpp
14,paho.mqtt.golang,Eclipse Foundation,2524,70,True,2016-02-03,2024-02-20,https://api.github.com/repos/eclipse/paho.mqtt.golang
15,paho.mqtt-sn.embedded-c,Eclipse Foundation,305,13,True,2016-02-03,2024-02-19,https://api.github.com/repos/eclipse/paho.mqtt-sn.embedded-c
16,paho.mqtt.m2mqtt,Eclipse Foundation,495,5,True,2016-02-03,2024-02-17,https://api.github.com/repos/eclipse/paho.mqtt.m2mqtt
17,omr,Eclipse Foundation,921,186,True,2016-03-03,2024-02-20,https://api.github.com/repos/eclipse/omr
18,paho.mqtt-spy,Eclipse Foundation,617,4,True,2016-06-02,2024-02-20,https://api.github.com/repos/eclipse/paho.mqtt-spy
19,gef,Eclipse Foundation,115,23,True,2016-07-05,2023-11-28,https://api.github.com/repos/eclipse/gef
20,jnosql,Eclipse Foundation,219,25,True,2016-07-14,2024-02-15,https://api.github.com/repos/eclipse/jnosql
21,kapua,Eclipse Foundation,219,36,True,2016-10-14,2024-02-20,https://api.github.com/repos/eclipse/kapua
22,microprofile-config,Eclipse Foundation,204,52,True,2016-10-26,2023-12-22,https://api.github.com/repos/eclipse/microprofile-config
23,microprofile,Eclipse Foundation,659,36,True,2016-12-21,2024-01-16,https://api.github.com/repos/eclipse/microprofile
24,microprofile-health,Eclipse Foundation,102,31,True,2017-04-25,2023-11-30,https://api.github.com/repos/eclipse/microprofile-health
25,microprofile-fault-tolerance,Eclipse Foundation,120,33,True,2017-05-01,2023-12-02,https://api.github.com/repos/eclipse/microprofile-fault-tolerance
26,microprofile-jwt-auth,Eclipse Foundation,101,24,True,2017-05-18,2024-01-30,https://api.github.com/repos/eclipse/microprofile-jwt-auth
27,microprofile-rest-client,Eclipse Foundation,135,30,True,2017-07-06,2024-02-20,https://api.github.com/repos/eclipse/microprofile-rest-client
28,microprofile-open-api,Eclipse Foundation,126,34,True,2017-07-07,2024-02-20,https://api.github.com/repos/eclipse/microprofile-open-api
29,paho.mqtt.rust,Eclipse Foundation,475,15,True,2017-10-03,2024-02-20,https://api.github.com/repos/eclipse/paho.mqtt.rust
30,lemminx,Eclipse Foundation,239,38,True,2018-06-22,2024-02-11,https://api.github.com/repos/eclipse/lemminx
31,steady,Eclipse Foundation,516,14,True,2018-08-20,2024-02-08,https://api.github.com/repos/eclipse/steady
32,paho.golang,Eclipse Foundation,268,16,True,2018-11-01,2024-02-19,https://api.github.com/repos/eclipse/paho.golang
33,jkube,Eclipse Foundation,591,187,True,2019-10-22,2024-02-20,https://api.github.com/repos/eclipse/jkube
34,openvsx,Eclipse Foundation,1059,37,True,2019-12-09,2024-02-20,https://api.github.com/repos/eclipse/openvsx
35,capella,Eclipse Foundation,196,49,True,2020-01-08,2024-02-14,https://api.github.com/repos/eclipse/capella
36,jbom,Eclipse Foundation,103,5,True,2021-12-20,2024-02-14,https://api.github.com/repos/eclipse/jbom
