,repo,org,stars,contributors,released,created_at,updated_recently,url
0,cube-ui,DiDi,9099,26,TRUE,11/3/2017,TRUE,https://api.github.com/repos/didi/cube-ui
1,DoKit,DiDi,19856,91,TRUE,8/14/2018,TRUE,https://api.github.com/repos/didi/DoKit
2,mpx,DiDi,3487,58,TRUE,12/6/2018,TRUE,https://api.github.com/repos/didi/mpx
3,booster,DiDi,4726,9,TRUE,4/23/2019,TRUE,https://api.github.com/repos/didi/booster
4,KnowStreaming,DiDi,6640,57,TRUE,3/19/2020,TRUE,https://api.github.com/repos/didi/KnowStreaming
5,Hummer,DiDi,1262,29,TRUE,11/10/2020,TRUE,https://api.github.com/repos/didi/Hummer
6,DiDiPrism,DiDi,1685,5,TRUE,11/23/2020,TRUE,https://api.github.com/repos/didi/DiDiPrism
7,DRouter,DiDi,706,1,TRUE,11/26/2020,TRUE,https://api.github.com/repos/didi/DRouter
8,LogicFlow,DiDi,6489,55,TRUE,12/24/2020,TRUE,https://api.github.com/repos/didi/LogicFlow
0,druid,Alibaba,27546,234,TRUE,11/3/2011,TRUE,https://api.github.com/repos/alibaba/druid
1,tengine,Alibaba,12504,97,TRUE,3/21/2012,TRUE,https://api.github.com/repos/alibaba/tengine
2,canal,Alibaba,27405,190,TRUE,1/13/2013,TRUE,https://api.github.com/repos/alibaba/canal
3,transmittable-thread-local,Alibaba,7080,19,TRUE,10/13/2013,TRUE,https://api.github.com/repos/alibaba/transmittable-thread-local
4,java-dns-cache-manipulator,Alibaba,835,5,TRUE,3/26/2015,TRUE,https://api.github.com/repos/alibaba/java-dns-cache-manipulator
5,ice,Alibaba,17743,68,TRUE,11/3/2016,TRUE,https://api.github.com/repos/alibaba/ice
6,web-editor,Alibaba,1136,3,TRUE,3/10/2017,TRUE,https://api.github.com/repos/alibaba/web-editor
7,jetcache,Alibaba,4540,28,TRUE,4/12/2017,TRUE,https://api.github.com/repos/alibaba/jetcache
8,react-intl-universal,Alibaba,1317,22,TRUE,6/14/2017,TRUE,https://api.github.com/repos/alibaba/react-intl-universal
9,spring-cloud-alibaba,Alibaba,26983,171,TRUE,12/1/2017,TRUE,https://api.github.com/repos/alibaba/spring-cloud-alibaba
10,Sentinel,Alibaba,21788,183,TRUE,4/4/2018,TRUE,https://api.github.com/repos/alibaba/Sentinel
11,nacos,Alibaba,28581,349,TRUE,6/15/2018,TRUE,https://api.github.com/repos/alibaba/nacos
12,pont,Alibaba,3000,34,TRUE,7/1/2018,TRUE,https://api.github.com/repos/alibaba/pont
13,arthas,Alibaba,34305,189,TRUE,8/29/2018,TRUE,https://api.github.com/repos/alibaba/arthas
14,Alink,Alibaba,3462,16,TRUE,9/30/2018,TRUE,https://api.github.com/repos/alibaba/Alink
15,formily,Alibaba,10549,198,TRUE,1/9/2019,TRUE,https://api.github.com/repos/alibaba/formily
16,flutter_boost,Alibaba,6755,54,TRUE,3/6/2019,TRUE,https://api.github.com/repos/alibaba/flutter_boost
17,MNN,Alibaba,8179,86,TRUE,4/15/2019,TRUE,https://api.github.com/repos/alibaba/MNN
18,hooks,Alibaba,13087,210,TRUE,6/27/2019,TRUE,https://api.github.com/repos/alibaba/hooks
19,x-render,Alibaba,6659,78,TRUE,9/26/2019,TRUE,https://api.github.com/repos/alibaba/x-render
20,alibaba-rsocket-broker,Alibaba,760,15,TRUE,11/27/2019,TRUE,https://api.github.com/repos/alibaba/alibaba-rsocket-broker
21,git-repo-go,Alibaba,235,7,TRUE,1/6/2020,TRUE,https://api.github.com/repos/alibaba/git-repo-go
22,graph-learn,Alibaba,1241,21,TRUE,3/26/2020,TRUE,https://api.github.com/repos/alibaba/graph-learn
23,compileflow,Alibaba,1680,7,TRUE,7/14/2020,TRUE,https://api.github.com/repos/alibaba/compileflow
24,cloud-charts,Alibaba,463,4,TRUE,8/3/2020,TRUE,https://api.github.com/repos/alibaba/cloud-charts
25,GraphScope,Alibaba,3065,61,TRUE,10/28/2020,TRUE,https://api.github.com/repos/alibaba/GraphScope
26,f2e-spec,Alibaba,728,12,TRUE,11/25/2020,TRUE,https://api.github.com/repos/alibaba/f2e-spec
27,EasyRec,Alibaba,1396,18,TRUE,12/8/2020,TRUE,https://api.github.com/repos/alibaba/EasyRec
28,tidevice,Alibaba,2249,21,TRUE,1/21/2021,TRUE,https://api.github.com/repos/alibaba/tidevice
29,AliceMind,Alibaba,1902,11,TRUE,5/21/2021,TRUE,https://api.github.com/repos/alibaba/AliceMind
30,open-local,Alibaba,434,19,TRUE,7/28/2021,TRUE,https://api.github.com/repos/alibaba/open-local
31,ilogtail,Alibaba,1467,80,TRUE,11/8/2021,TRUE,https://api.github.com/repos/alibaba/ilogtail
