,repo,org,stars,contributors,released,created_at,updated_recently,url
0,wakaama,Eclipse Foundation,481,37,True,2014-04-18,True,https://api.github.com/repos/eclipse/wakaama
1,vorto,Eclipse Foundation,224,42,True,2015-03-02,True,https://api.github.com/repos/eclipse/vorto
2,che,Eclipse Foundation,6910,137,True,2015-03-26,True,https://api.github.com/repos/eclipse/che
3,dirigible,Eclipse Foundation,198,50,True,2015-05-11,True,https://api.github.com/repos/eclipse/dirigible
4,elk,Eclipse Foundation,222,17,True,2015-10-19,True,https://api.github.com/repos/eclipse/elk
5,hawkbit,Eclipse Foundation,428,65,True,2015-11-09,True,https://api.github.com/repos/eclipse/hawkbit
6,eclipse-collections,Eclipse Foundation,2328,104,True,2015-11-24,True,https://api.github.com/repos/eclipse/eclipse-collections
7,paho.mqtt.java,Eclipse Foundation,2001,58,True,2015-12-16,True,https://api.github.com/repos/eclipse/paho.mqtt.java
8,paho.mqtt.embedded-c,Eclipse Foundation,1277,14,True,2015-12-16,True,https://api.github.com/repos/eclipse/paho.mqtt.embedded-c
9,paho.mqtt.javascript,Eclipse Foundation,1115,10,True,2015-12-16,True,https://api.github.com/repos/eclipse/paho.mqtt.javascript
10,paho.mqtt.c,Eclipse Foundation,1797,88,True,2015-12-16,True,https://api.github.com/repos/eclipse/paho.mqtt.c
11,paho.mqtt.cpp,Eclipse Foundation,880,20,True,2016-02-03,True,https://api.github.com/repos/eclipse/paho.mqtt.cpp
12,paho.mqtt.golang,Eclipse Foundation,2529,70,True,2016-02-03,True,https://api.github.com/repos/eclipse/paho.mqtt.golang
13,paho.mqtt-sn.embedded-c,Eclipse Foundation,305,13,True,2016-02-03,True,https://api.github.com/repos/eclipse/paho.mqtt-sn.embedded-c
14,paho.mqtt.m2mqtt,Eclipse Foundation,495,5,True,2016-02-03,True,https://api.github.com/repos/eclipse/paho.mqtt.m2mqtt
15,omr,Eclipse Foundation,921,186,True,2016-03-03,True,https://api.github.com/repos/eclipse/omr
16,paho.mqtt-spy,Eclipse Foundation,617,4,True,2016-06-02,True,https://api.github.com/repos/eclipse/paho.mqtt-spy
17,gef,Eclipse Foundation,115,23,True,2016-07-05,True,https://api.github.com/repos/eclipse/gef
18,jnosql,Eclipse Foundation,219,25,True,2016-07-14,True,https://api.github.com/repos/eclipse/jnosql
19,kapua,Eclipse Foundation,219,36,True,2016-10-14,True,https://api.github.com/repos/eclipse/kapua
20,microprofile-config,Eclipse Foundation,204,52,True,2016-10-26,True,https://api.github.com/repos/eclipse/microprofile-config
21,microprofile,Eclipse Foundation,660,36,True,2016-12-21,True,https://api.github.com/repos/eclipse/microprofile
22,microprofile-fault-tolerance,Eclipse Foundation,120,33,True,2017-05-01,True,https://api.github.com/repos/eclipse/microprofile-fault-tolerance
23,microprofile-rest-client,Eclipse Foundation,135,30,True,2017-07-06,True,https://api.github.com/repos/eclipse/microprofile-rest-client
24,microprofile-open-api,Eclipse Foundation,126,34,True,2017-07-07,True,https://api.github.com/repos/eclipse/microprofile-open-api
25,paho.mqtt.rust,Eclipse Foundation,476,15,True,2017-10-03,True,https://api.github.com/repos/eclipse/paho.mqtt.rust
26,lemminx,Eclipse Foundation,239,38,True,2018-06-22,True,https://api.github.com/repos/eclipse/lemminx
27,steady,Eclipse Foundation,515,14,True,2018-08-20,True,https://api.github.com/repos/eclipse/steady
28,paho.golang,Eclipse Foundation,269,16,True,2018-11-01,True,https://api.github.com/repos/eclipse/paho.golang
29,jkube,Eclipse Foundation,594,188,True,2019-10-22,True,https://api.github.com/repos/eclipse/jkube
30,openvsx,Eclipse Foundation,1059,37,True,2019-12-09,True,https://api.github.com/repos/eclipse/openvsx
31,capella,Eclipse Foundation,197,49,True,2020-01-08,True,https://api.github.com/repos/eclipse/capella
